asset_id,asset_name,asset_category,damage_score,damage_type,asset_age_years,expected_lifespan_years,usage_count,estimated_repair_cost_etb,current_market_price_etb,repair_cost_ratio,age_damage_product,remaining_life_score,price_delta_pct,decision
45,HP EliteDesk 800 G8,Desktop Computer,0.2981,2,6.9,6,110,22009.41,75111.76,0.293022,2.05689,0.0,70.697784,0
46,Acer Veriton X4660G,Desktop Computer,0.4781,0,6.95,6,233,7893.54,77929.66,0.101291,3.322795,0.0,89.870943,1
47,Dell Precision 3660 Rev.2,Desktop Computer,0.1146,2,2.7,6,359,11766.25,68001.66,0.173029,0.30942,0.55,82.697114,0
48,Lenovo ThinkCentre M720 S/N-1048,Desktop Computer,0.0757,3,3.12,6,267,21560.55,68975.91,0.312581,0.236184,0.48,68.741913,0
49,HP ProDesk 400 G7 Rev.4,Desktop Computer,0.7814,1,3.23,6,523,16124.57,36912.86,0.436828,2.523922,0.461667,56.317202,1
50,Acer Veriton X4660G S/N-1050,Desktop Computer,0.4555,1,0.85,6,551,7181.73,79975.24,0.089799,0.387175,0.858333,91.020058,0
51,ASUS ExpertCenter D500 S/N-1051,Desktop Computer,0.6295,2,7.77,6,127,23875.24,56564.87,0.422086,4.891215,0.0,57.7914,1
52,HP EliteDesk 800 G8 #52,Desktop Computer,0.5656,0,6.01,6,680,10176.02,68344.65,0.148893,3.399256,0.0,85.110729,1
53,Dell Vostro 3910 Rev.8,Desktop Computer,0.0504,0,4.83,6,440,9620.9,65775.75,0.146268,0.243432,0.195,85.373181,0
54,Lenovo ThinkCentre M720,Desktop Computer,0.7882,3,4.54,6,753,17863.8,57089.3,0.31291,3.578428,0.243333,68.709023,0
55,ASUS ExpertCenter D500 #55,Desktop Computer,0.1369,3,5.39,6,240,17604.78,49189.32,0.357898,0.737891,0.101667,64.210158,0
56,HP ProDesk 400 G7 Rev.2,Desktop Computer,0.9651,2,0.87,6,786,6241.79,75328.14,0.082861,0.839637,0.855,91.713867,1
57,Lenovo ThinkCentre M720,Desktop Computer,0.6976,1,2.04,6,249,16854.84,55722.05,0.302481,1.423104,0.66,69.751938,0
58,Dell Precision 3660 Rev.4,Desktop Computer,0.7739,0,7.5,6,712,21929.69,79632.99,0.275384,5.80425,0.0,72.461551,0
59,Dell Precision 3660 S/N-1059,Desktop Computer,0.4745,3,7.2,6,683,8482.36,37510.92,0.22613,3.4164,0.0,77.386958,0
60,Lenovo IdeaCentre 3 #60,Desktop Computer,0.7189,1,5.34,6,561,22611.37,82501.98,0.274071,3.838926,0.11,72.592937,1
61,Dell Precision 3660 Rev.7,Desktop Computer,0.2799,2,2.55,6,784,13442.84,72182.77,0.186233,0.713745,0.575,81.376664,0
62,Dell Precision 3660,Desktop Computer,0.3157,0,1.11,6,327,9041.14,66337.42,0.13629,0.350427,0.815,86.37098,0
63,Dell Vostro 3910 Rev.0,Desktop Computer,0.707,0,5.98,6,417,8087.75,41918.7,0.192939,4.22786,0.003333,80.706105,0
64,Dell OptiPlex 7090 Rev.1,Desktop Computer,0.8915,1,3.82,6,712,7550.36,55788.71,0.135338,3.40553,0.363333,86.466151,1
65,Dell Precision 3660 #65,Desktop Computer,0.4127,3,2.86,6,429,23740.32,58848.99,0.403411,1.180322,0.523333,59.658917,0
66,Lenovo ThinkCentre M720 Rev.3,Desktop Computer,0.4116,2,4.34,6,414,9004.58,59411.47,0.151563,1.786344,0.276667,84.843701,0
67,Dell OptiPlex 7090,Desktop Computer,0.8934,1,4.72,6,678,24575.88,80977.08,0.303492,4.216848,0.213333,69.65082,1
68,Lenovo IdeaCentre 3 S/N-1068,Desktop Computer,0.0968,1,4.15,6,216,5985.39,67137.48,0.089151,0.40172,0.308333,91.084875,0
69,Lenovo IdeaCentre 3,Desktop Computer,0.9346,1,2.7,6,83,22352.08,51875.03,0.430883,2.52342,0.55,56.911678,1
70,Dell OptiPlex 7090,Desktop Computer,0.2585,0,8.02,6,667,4145.88,72451.21,0.057223,2.07317,0.0,94.277694,1
71,HP ProDesk 400 G7 #71,Desktop Computer,0.1917,0,0.66,6,685,7385.94,82480.59,0.089548,0.126522,0.89,91.045239,0
72,HP ProDesk 400 G7 #72,Desktop Computer,0.6135,3,3.41,6,735,8637.36,58251.7,0.148277,2.092035,0.431667,85.172347,0
73,HP EliteDesk 800 G8 #73,Desktop Computer,0.3401,2,0.7,6,384,5378.17,83236.04,0.064613,0.23807,0.883333,93.538652,0
74,HP ProDesk 400 G7,Desktop Computer,0.1448,2,5.46,6,700,18193.52,38799.82,0.468907,0.790608,0.09,53.109267,1
75,Lenovo IdeaCentre 3,Desktop Computer,0.5205,0,3.43,6,430,12424.32,52360.19,0.237286,1.785315,0.428333,76.271438,0
76,Dell Precision 3660 S/N-1076,Desktop Computer,0.4776,0,7.54,6,180,10968.14,56676.17,0.193523,3.601104,0.0,80.647704,1
77,ASUS ExpertCenter D500 S/N-1077,Desktop Computer,0.4823,3,6.62,6,606,23231.59,65795.62,0.353087,3.192826,0.0,64.691282,1
78,HP EliteDesk 800 G8 S/N-1078,Desktop Computer,0.8699,0,1.18,6,475,21276.08,77585.66,0.274227,1.026482,0.803333,72.577304,1
79,ASUS ExpertCenter D500 S/N-1079,Desktop Computer,0.2473,2,1.94,6,348,21720.96,36435.0,0.596156,0.479762,0.676667,40.384356,0
80,Acer Veriton X4660G Rev.8,Desktop Computer,0.2745,1,2.01,6,568,14365.8,62789.55,0.228793,0.551745,0.665,77.120715,0
81,Acer Veriton X4660G S/N-1081,Desktop Computer,0.1365,0,6.76,6,708,13798.07,67295.14,0.205038,0.92274,0.0,79.496187,1
82,Dell Vostro 3910 S/N-1082,Desktop Computer,0.3697,3,4.87,6,563,11118.45,68198.0,0.163032,1.800439,0.188333,83.696809,0
83,Dell Precision 3660 #83,Desktop Computer,0.1622,0,2.49,6,122,8960.16,70142.75,0.127742,0.403878,0.585,87.225822,0
84,ASUS ExpertCenter D500,Desktop Computer,0.5983,2,2.68,6,611,19249.3,44577.05,0.431821,1.603444,0.553333,56.817914,0
85,ASUS ExpertCenter D500,Desktop Computer,0.3311,2,3.35,6,129,9517.42,76631.42,0.124197,1.109185,0.441667,87.580264,0
86,HP ProDesk 400 G7,Desktop Computer,0.1674,3,6.01,6,502,15173.9,83714.75,0.181257,1.006074,0.0,81.874281,1
87,HP ProDesk 400 G7,Desktop Computer,0.2215,0,3.98,6,489,13326.73,63703.21,0.2092,0.88157,0.336667,79.079971,0
88,ASUS ExpertCenter D500,Desktop Computer,0.0999,0,5.47,6,576,4629.81,55035.37,0.084124,0.546453,0.088333,91.587574,1
89,Dell Precision 3660 Rev.8,Desktop Computer,0.6139,2,6.54,6,231,5605.93,84695.91,0.066189,4.014906,0.0,93.381109,1
90,Dell OptiPlex 7090,Desktop Computer,0.9707,0,7.3,6,635,12739.86,57525.72,0.221464,7.08611,0.0,77.853628,1
91,Dell Precision 3660,Desktop Computer,0.6642,0,2.17,6,177,7571.33,82379.51,0.091908,1.441314,0.638333,90.809207,0
92,ASUS ExpertCenter D500 Rev.2,Desktop Computer,0.487,0,5.95,6,295,11987.39,42826.63,0.279905,2.89765,0.008333,72.009495,1
93,HP EliteDesk 800 G8,Desktop Computer,0.7859,1,2.59,6,202,8135.32,38558.99,0.210984,2.035481,0.568333,78.901626,1
94,ASUS ExpertCenter D500 S/N-1094,Desktop Computer,0.8188,0,7.68,6,169,17247.96,62228.12,0.277173,6.288384,0.0,72.282691,0
95,Lenovo IdeaCentre 3 Rev.5,Desktop Computer,0.4243,0,2.9,6,552,13311.36,56957.67,0.233706,1.23047,0.516667,76.629381,0
96,Acer Veriton X4660G,Desktop Computer,0.3498,0,3.91,6,93,3876.94,39022.09,0.099352,1.367718,0.348333,90.064756,0
97,Dell Precision 3660 Rev.7,Desktop Computer,0.0874,2,2.63,6,481,17790.19,84978.62,0.209349,0.229862,0.561667,79.065099,0
98,Lenovo IdeaCentre 3 S/N-1098,Desktop Computer,0.6403,1,5.12,6,93,6992.76,80803.64,0.08654,3.278336,0.146667,91.345984,0
99,ASUS ExpertCenter D500 Rev.0,Desktop Computer,0.1996,1,1.33,6,507,10063.28,55417.4,0.181591,0.265468,0.778333,81.840938,0
100,HP EliteDesk 800 G8,Desktop Computer,0.3425,0,4.09,6,791,15102.13,75678.3,0.199557,1.400825,0.318333,80.044306,0
101,Lenovo IdeaCentre 3 Rev.2,Desktop Computer,0.2245,1,3.76,6,774,14937.06,67883.02,0.220041,0.84412,0.373333,77.995882,1
102,Lenovo IdeaCentre 3,Desktop Computer,0.9127,1,4.84,6,715,7478.28,72999.53,0.102443,4.417468,0.193333,89.755715,1
103,Dell Precision 3660 Rev.4,Desktop Computer,0.7101,0,6.81,6,14,16860.49,36443.47,0.462648,4.835781,0.0,53.735223,1
104,Lenovo IdeaCentre 3 S/N-1104,Desktop Computer,0.4791,0,7.71,6,157,24829.66,39660.46,0.626056,3.693861,0.0,37.394423,1
105,Lenovo ThinkCentre M720 Rev.6,Desktop Computer,0.9616,0,7.09,6,564,9015.35,60443.6,0.149153,6.817744,0.0,85.084691,1
106,HP EliteDesk 800 G8 S/N-1106,Desktop Computer,0.177,0,6.4,6,791,16186.31,44530.52,0.363488,1.1328,0.0,63.651199,1
107,Lenovo IdeaCentre 3 #107,Desktop Computer,0.313,0,6.98,6,601,14170.23,81712.42,0.173416,2.18474,0.0,82.658413,1
108,Acer Veriton X4660G #108,Desktop Computer,0.7595,1,3.13,6,329,13655.51,57327.37,0.238202,2.377235,0.478333,76.179772,1
109,HP EliteDesk 800 G8 Rev.1,Desktop Computer,0.0906,2,6.63,6,722,8138.37,63589.88,0.127982,0.600678,0.0,87.201784,1
110,Dell Precision 3660 S/N-1110,Desktop Computer,0.1915,3,5.65,6,129,20432.66,84420.7,0.242034,1.081975,0.058333,75.796623,1
111,Lenovo ThinkCentre M720 Rev.3,Desktop Computer,0.5391,1,3.98,6,739,22232.19,78485.02,0.283267,2.145618,0.336667,71.673333,0
112,HP EliteDesk 800 G8,Desktop Computer,0.7768,0,1.09,6,638,24339.05,78546.65,0.309867,0.846712,0.818333,69.013255,0
113,Lenovo IdeaCentre 3,Desktop Computer,0.4034,0,7.29,6,735,21751.51,77588.26,0.280345,2.940786,0.0,71.965462,1
114,HP EliteDesk 800 G8,Desktop Computer,0.3173,0,5.91,6,92,8164.95,65872.97,0.12395,1.875243,0.015,87.605007,1
115,Dell OptiPlex 7090 S/N-1115,Desktop Computer,0.2047,0,1.29,6,29,18485.6,73018.48,0.253163,0.264063,0.785,74.683669,0
116,Lenovo ThinkCentre M720 #116,Desktop Computer,0.1854,1,3.46,6,579,9454.09,74807.17,0.126379,0.641484,0.423333,87.362054,0
117,Lenovo ThinkCentre M720 #117,Desktop Computer,0.6853,1,3.52,6,597,16408.82,43753.47,0.375029,2.412256,0.413333,62.4971,1
118,Dell Precision 3660 #118,Desktop Computer,0.0587,3,2.52,6,294,8587.5,58057.5,0.147914,0.147924,0.58,85.208629,0
119,ASUS ExpertCenter D500 Rev.2,Desktop Computer,0.3282,3,8.3,6,706,23795.18,38693.1,0.614972,2.72406,0.0,38.502782,1
120,Dell Vostro 3910 S/N-1120,Desktop Computer,0.4994,0,3.54,6,585,7382.77,77265.2,0.095551,1.767876,0.41,90.444896,0
121,Dell OptiPlex 7090 Rev.4,Desktop Computer,0.6622,0,8.23,6,579,9495.08,84634.6,0.112189,5.449906,0.0,88.78109,1
122,Acer Veriton X4660G S/N-1122,Desktop Computer,0.264,3,6.63,6,224,22864.57,76641.94,0.29833,1.75032,0.0,70.167026,1
123,Dell OptiPlex 7090 S/N-1123,Desktop Computer,0.8297,2,5.71,6,642,18860.42,68888.22,0.273783,4.737587,0.048333,72.621705,1
124,HP EliteDesk 800 G8 #124,Desktop Computer,0.1722,3,3.38,6,334,3734.02,74430.52,0.050168,0.582036,0.436667,94.983214,0
125,Lenovo ThinkCentre M720 S/N-1125,Desktop Computer,0.3902,1,7.42,6,279,20303.28,45039.74,0.450786,2.895284,0.0,54.921409,0
126,Lenovo IdeaCentre 3,Desktop Computer,0.3245,3,8.14,6,117,23772.13,80702.45,0.294565,2.64143,0.0,70.543484,1
127,Dell Vostro 3910,Desktop Computer,0.7235,3,7.3,6,570,24263.0,42037.85,0.57717,5.28155,0.0,42.282966,1
128,ASUS ExpertCenter D500 Rev.2,Desktop Computer,0.473,2,4.74,6,688,3306.21,74534.1,0.044358,2.24202,0.21,95.564165,0
129,Dell Vostro 3910 #129,Desktop Computer,0.2675,0,1.36,6,574,23686.42,76120.87,0.311169,0.3638,0.773333,68.883146,0
130,Lenovo ThinkCentre M720,Desktop Computer,0.702,2,4.17,6,119,16978.89,67382.62,0.251977,2.92734,0.305,74.802271,0
131,HP EliteDesk 800 G8 Rev.5,Desktop Computer,0.1404,3,4.39,6,138,9696.02,82313.08,0.117794,0.616356,0.268333,88.22056,1
132,Lenovo ThinkCentre M720 Rev.6,Desktop Computer,0.5524,1,6.0,6,744,23886.38,53550.58,0.446053,3.3144,0.0,55.394731,1
133,Dell Vostro 3910 #133,Desktop Computer,0.9233,0,5.36,6,706,21341.25,67746.09,0.315018,4.948888,0.106667,68.498182,1
134,Dell Vostro 3910,Desktop Computer,0.1424,2,7.26,6,557,23912.21,57169.15,0.418271,1.033824,0.0,58.172878,1
135,Acer Veriton X4660G,Desktop Computer,0.8387,1,1.47,6,678,7175.79,54906.98,0.13069,1.232889,0.755,86.931006,1
136,Dell Precision 3660 #136,Desktop Computer,0.7819,0,8.31,6,783,10337.2,37528.93,0.275446,6.497589,0.0,72.455383,1
137,Dell OptiPlex 7090 S/N-1137,Desktop Computer,0.7702,2,2.34,6,610,20887.17,64319.15,0.324743,1.802268,0.61,67.525737,0
138,Dell OptiPlex 7090 #138,Desktop Computer,0.2831,0,1.53,6,676,6183.14,77920.31,0.079352,0.433143,0.745,92.06479,0
139,Lenovo ThinkCentre M720 Rev.4,Desktop Computer,0.3511,0,2.38,6,53,20379.66,35743.02,0.570172,0.835618,0.603333,42.982826,0
140,Lenovo IdeaCentre 3 #140,Desktop Computer,0.7736,1,4.26,6,111,19404.64,61304.28,0.31653,3.295536,0.29,68.347006,1
141,Dell OptiPlex 7090,Desktop Computer,0.8563,1,6.69,6,469,3954.03,82270.78,0.048061,5.728647,0.0,95.193883,1
142,HP ProDesk 400 G7,Desktop Computer,0.1504,2,3.87,6,454,21640.57,84929.34,0.254807,0.582048,0.355,74.519324,0
143,Dell Vostro 3910 Rev.8,Desktop Computer,0.6306,1,1.5,6,729,6263.34,51105.59,0.122557,0.9459,0.75,87.744315,0
144,HP ProDesk 400 G7 #144,Desktop Computer,0.613,0,4.08,6,718,14672.25,84731.39,0.173162,2.50104,0.32,82.683808,0
145,HP ProDesk 400 G7 S/N-1145,Desktop Computer,0.8195,1,3.77,6,747,22538.0,56503.5,0.398878,3.089515,0.371667,60.112205,1
146,HP ProDesk 400 G7,Desktop Computer,0.192,3,3.46,6,68,17632.37,56338.2,0.312974,0.66432,0.423333,68.702639,0
147,Dell Precision 3660 S/N-1147,Desktop Computer,0.8049,1,6.34,6,600,5124.42,39661.51,0.129204,5.103066,0.0,87.079614,1
148,Dell OptiPlex 7090 S/N-1148,Desktop Computer,0.9253,1,7.4,6,738,12037.79,68500.66,0.175732,6.84722,0.0,82.426753,1
149,HP ProDesk 400 G7 S/N-1149,Desktop Computer,0.2478,2,5.07,6,229,10736.22,65020.5,0.165121,1.256346,0.155,83.487946,0
150,Dell Precision 3660,Desktop Computer,0.5839,3,6.52,6,574,11086.34,77268.67,0.143478,3.807028,0.0,85.652218,0
151,ASUS ExpertCenter D500 S/N-1151,Desktop Computer,0.0769,0,5.98,6,780,17472.29,65449.75,0.266957,0.459862,0.003333,73.304268,1
152,Dell OptiPlex 7090,Desktop Computer,0.6613,0,1.63,6,758,6990.92,52551.17,0.133031,1.077919,0.728333,86.696928,0
153,Dell Vostro 3910,Desktop Computer,0.367,1,3.82,6,738,7732.92,72305.59,0.106948,1.40194,0.363333,89.305225,0
154,HP EliteDesk 800 G8 Rev.1,Desktop Computer,0.0963,0,6.46,6,453,6422.76,79167.11,0.081129,0.622098,0.0,91.887085,0
155,ASUS ExpertCenter D500 Rev.2,Desktop Computer,0.5265,0,2.2,6,113,12112.04,65353.8,0.18533,1.1583,0.633333,81.466969,0
156,ASUS ExpertCenter D500 #156,Desktop Computer,0.9655,0,2.24,6,209,9785.23,61346.71,0.159507,2.16272,0.626667,84.049299,1
157,Lenovo ThinkCentre M720 #157,Desktop Computer,0.1616,1,2.79,6,440,19811.54,73367.48,0.270032,0.450864,0.535,72.996837,0
158,HP EliteDesk 800 G8,Desktop Computer,0.825,3,4.45,6,73,18480.77,54010.37,0.342171,3.67125,0.258333,65.782923,0
159,HP EliteDesk 800 G8 S/N-1159,Desktop Computer,0.3411,1,1.12,6,414,13114.59,56810.98,0.230846,0.382032,0.813333,76.915396,0
160,Dell Vostro 3910,Desktop Computer,0.7952,2,3.07,6,706,3458.84,40758.67,0.084861,2.441264,0.488333,91.513855,0
161,Dell Vostro 3910 #161,Desktop Computer,0.4224,0,3.94,6,317,5328.99,56835.59,0.093761,1.664256,0.343333,90.62385,0
162,Dell Vostro 3910 S/N-1162,Desktop Computer,0.156,1,4.53,6,794,6698.92,51653.43,0.12969,0.70668,0.245,87.031026,0
163,Lenovo ThinkCentre M720 #163,Desktop Computer,0.2697,0,6.94,6,202,21016.87,71368.96,0.294482,1.871718,0.0,70.551806,1
164,Lenovo IdeaCentre 3 S/N-1164,Desktop Computer,0.7687,1,1.9,6,772,17421.2,73010.76,0.238611,1.46053,0.683333,76.13886,0
165,ASUS ExpertCenter D500,Desktop Computer,0.1135,1,1.69,6,310,16798.78,78212.34,0.214784,0.191815,0.718333,78.521573,0
166,HP ProDesk 400 G7,Desktop Computer,0.085,1,4.15,6,293,4632.19,52597.11,0.088069,0.35275,0.308333,91.193071,0
167,Lenovo IdeaCentre 3 #167,Desktop Computer,0.5655,2,4.16,6,42,14155.49,65750.42,0.215291,2.35248,0.306667,78.470875,0
168,HP ProDesk 400 G7 #168,Desktop Computer,0.1075,0,1.69,6,351,13463.84,51076.34,0.263602,0.181675,0.718333,73.639771,0
169,Dell Vostro 3910 S/N-1169,Desktop Computer,0.5374,2,8.33,6,372,18567.68,36957.11,0.502412,4.476542,0.0,49.758842,1
170,HP ProDesk 400 G7 S/N-1170,Desktop Computer,0.0987,2,5.86,6,342,20038.23,54370.83,0.368547,0.578382,0.023333,63.145256,1
171,Lenovo ThinkCentre M720 S/N-1171,Desktop Computer,0.7231,2,2.74,6,617,17924.35,39725.3,0.451207,1.981294,0.543333,54.879258,0
172,HP EliteDesk 800 G8 #172,Desktop Computer,0.3385,2,7.74,6,678,17599.47,39075.1,0.450401,2.61999,0.0,54.959885,1
173,Dell Precision 3660,Desktop Computer,0.4003,2,2.95,6,130,23636.05,64752.06,0.365024,1.180885,0.508333,63.497609,0
174,Dell Vostro 3910 Rev.3,Desktop Computer,0.3872,0,3.36,6,219,12314.94,67301.24,0.182982,1.300992,0.44,81.701764,0
175,Dell Precision 3660,Desktop Computer,0.3251,2,1.72,6,519,24999.49,44600.26,0.560523,0.559172,0.713333,43.947659,0
176,Lenovo ThinkCentre M720 Rev.5,Desktop Computer,0.6054,0,5.38,6,185,22280.64,68096.46,0.327192,3.257052,0.103333,67.280766,0
177,Lenovo IdeaCentre 3 #177,Desktop Computer,0.9517,2,6.18,6,770,11014.59,37184.62,0.296214,5.881506,0.0,70.37864,1
178,Lenovo IdeaCentre 3 Rev.7,Desktop Computer,0.4862,3,6.89,6,376,9808.29,61700.56,0.158966,3.349918,0.0,84.103402,1
179,Lenovo ThinkCentre M720 S/N-1179,Desktop Computer,0.4394,0,4.47,6,204,20118.73,73471.93,0.273829,1.964118,0.255,72.617121,0
180,HP ProDesk 400 G7 S/N-1180,Desktop Computer,0.9189,2,3.43,6,528,13572.99,37608.99,0.360897,3.151827,0.428333,63.910251,1
181,Acer Veriton X4660G Rev.1,Desktop Computer,0.5274,3,4.05,6,93,6526.87,39193.76,0.166528,2.13597,0.325,83.347171,0
182,HP ProDesk 400 G7 S/N-1182,Desktop Computer,0.4187,1,3.78,6,395,23470.38,79231.49,0.296225,1.582686,0.37,70.37746,0
183,Lenovo ThinkCentre M720,Desktop Computer,0.7147,0,1.28,6,149,10011.07,46226.94,0.216564,0.914816,0.786667,78.343646,0
184,Dell OptiPlex 7090,Desktop Computer,0.1791,2,6.0,6,459,21254.75,49343.97,0.430747,1.0746,0.0,56.925335,1
185,HP ProDesk 400 G7 S/N-1185,Desktop Computer,0.9244,2,1.68,6,433,7744.4,35950.19,0.21542,1.552992,0.72,78.457972,0
186,HP ProDesk 400 G7 Rev.6,Desktop Computer,0.6442,2,2.38,6,64,5680.66,46882.01,0.121169,1.533196,0.603333,87.883071,0
187,Dell OptiPlex 7090 S/N-1187,Desktop Computer,0.275,0,4.57,6,439,3361.58,64836.95,0.051847,1.25675,0.238333,94.815333,0
188,Dell Precision 3660,Desktop Computer,0.1296,3,5.75,6,69,12164.49,47028.21,0.258664,0.7452,0.041667,74.133632,1
189,MacBook Air M2,Laptop,0.9624,0,4.63,5,16,16223.51,74284.03,0.218398,4.455912,0.074,78.160164,1
